Run	Experiment	SRA Study	Sample Name
SRR2003923	SRX1014922	SRP057855	GBM_103
SRR2003924	SRX1014934	SRP057855	GBM_107
SRR2003925	SRX1014930	SRP057855	GBM_100
SRR2003926	SRX1014929	SRP057855	GBM_112
SRR2003927	SRX1014931	SRP057855	GBM_101
SRR2003928	SRX1014921	SRP057855	GBM_63
SRR2003929	SRX1014933	SRP057855	GBM_54
SRR2003930	SRX1014932	SRP057855	GBM_62
SRR2003931	SRX1014923	SRP057855	GBM_64
SRR2003932	SRX1014925	SRP057855	GBM_95
SRR2003933	SRX1014928	SRP057855	GBM_58
SRR2003934	SRX1014927	SRP057855	GBM_71
SRR2003935	SRX1014926	SRP057855	GBM_67
SRR2003936	SRX1014920	SRP057855	GBM_66
